cohort_month,cohort_size,month_number,active_users,retention_pct
2016-08-01,61699,0,61699,100.0
2016-08-01,61699,1,2640,4.28
2016-08-01,61699,2,1176,1.91
2016-08-01,61699,3,634,1.03
2016-08-01,61699,4,473,0.77
2016-08-01,61699,5,296,0.48
2016-08-01,61699,6,225,0.36
2016-08-01,61699,7,182,0.29
2016-08-01,61699,8,144,0.23
2016-08-01,61699,9,147,0.24
2016-08-01,61699,10,112,0.18
2016-08-01,61699,11,92,0.15
2016-09-01,56481,0,56481,100.0
2016-09-01,56481,1,2237,3.96
2016-09-01,56481,2,775,1.37
2016-09-01,56481,3,421,0.75
2016-09-01,56481,4,245,0.43
2016-09-01,56481,5,149,0.26
2016-09-01,56481,6,127,0.22
2016-09-01,56481,7,127,0.22
2016-09-01,56481,8,98,0.17
2016-09-01,56481,9,66,0.12
2016-09-01,56481,10,55,0.1
2016-10-01,81488,0,81488,100.0
2016-10-01,81488,1,2561,3.14
2016-10-01,81488,2,843,1.03
2016-10-01,81488,3,381,0.47
2016-10-01,81488,4,274,0.34
2016-10-01,81488,5,203,0.25
2016-10-01,81488,6,143,0.18
2016-10-01,81488,7,116,0.14
2016-10-01,81488,8,98,0.12
2016-10-01,81488,9,75,0.09
2016-11-01,95764,0,95764,100.0
2016-11-01,95764,1,2724,2.84
2016-11-01,95764,2,680,0.71
2016-11-01,95764,3,303,0.32
2016-11-01,95764,4,224,0.23
2016-11-01,95764,5,174,0.18
2016-11-01,95764,6,141,0.15
2016-11-01,95764,7,92,0.1
2016-11-01,95764,8,76,0.08
2016-12-01,59378,0,59378,100.0
2016-12-01,59378,1,1867,3.14
2016-12-01,59378,2,508,0.86
2016-12-01,59378,3,342,0.58
2016-12-01,59378,4,231,0.39
2016-12-01,59378,5,162,0.27
2016-12-01,59378,6,111,0.19
2016-12-01,59378,7,104,0.18
2017-01-01,49572,0,49572,100.0
2017-01-01,49572,1,1595,3.22
2017-01-01,49572,2,518,1.04
2017-01-01,49572,3,305,0.62
2017-01-01,49572,4,215,0.43
2017-01-01,49572,5,132,0.27
2017-01-01,49572,6,99,0.2
2017-02-01,48310,0,48310,100.0
2017-02-01,48310,1,1583,3.28
2017-02-01,48310,2,464,0.96
2017-02-01,48310,3,337,0.7
2017-02-01,48310,4,170,0.35
2017-02-01,48310,5,119,0.25
2017-03-01,54709,0,54709,100.0
2017-03-01,54709,1,1669,3.05
2017-03-01,54709,2,550,1.01
2017-03-01,54709,3,260,0.48
2017-03-01,54709,4,187,0.34
2017-04-01,52424,0,52424,100.0
2017-04-01,52424,1,1811,3.45
2017-04-01,52424,2,525,1.0
2017-04-01,52424,3,280,0.53
2017-05-01,48656,0,48656,100.0
2017-05-01,48656,1,1828,3.76
2017-05-01,48656,2,618,1.27
2017-06-01,48673,0,48673,100.0
2017-06-01,48673,1,1746,3.59
2017-07-01,55118,0,55118,100.0
